"datetime","bid","ask","base","quote"
"2000-05-30 17:27:36.000000000",0.9297000000000001,0.9302,"EUR","USD"
"2000-05-30 17:35:04.000000000",0.9299000000000001,0.9304,"EUR","USD"
"2000-05-30 17:35:05.000000000",0.93,0.9305,"EUR","USD"
"2000-05-30 17:38:11.000000000",0.9299000000000001,0.9304,"EUR","USD"
"2000-05-30 17:38:13.000000000",0.9298000000000001,0.9303,"EUR","USD"
"2000-05-30 17:43:57.000000000",0.9296000000000001,0.9301,"EUR","USD"
"2000-05-30 17:43:58.000000000",0.9295,0.93,"EUR","USD"
"2000-05-30 17:44:00.000000000",0.9293,0.9298000000000001,"EUR","USD"
"2000-05-30 17:44:01.000000000",0.9292,0.9297000000000001,"EUR","USD"
"2000-05-30 18:29:51.000000000",0.9293,0.9298000000000001,"EUR","USD"
"2000-05-30 18:29:52.000000000",0.9294,0.9299000000000001,"EUR","USD"
"2000-05-30 18:37:37.000000000",0.9295,0.93,"EUR","USD"
"2000-05-30 18:40:54.000000000",0.9294,0.9299000000000001,"EUR","USD"
"2000-05-30 18:41:55.000000000",0.9295,0.93,"EUR","USD"
"2000-05-30 18:42:27.000000000",0.9294,0.9299000000000001,"EUR","USD"
"2000-05-30 18:42:37.000000000",0.9293,0.9298000000000001,"EUR","USD"
"2000-05-30 18:42:45.000000000",0.9294,0.9299000000000001,"EUR","USD"
"2000-05-30 18:43:36.000000000",0.9295,0.93,"EUR","USD"
"2000-05-30 18:45:04.000000000",0.9294,0.9299000000000001,"EUR","USD"
"2000-05-30 18:46:12.000000000",0.9295,0.93,"EUR","USD"
"2000-05-30 18:50:20.000000000",0.9294,0.9299000000000001,"EUR","USD"
"2000-05-30 18:51:14.000000000",0.9294,0.9298000000000001,"EUR","USD"
"2000-05-30 18:52:03.000000000",0.9295,0.9298000000000001,"EUR","USD"
"2000-05-30 18:52:05.000000000",0.9295,0.9299000000000001,"EUR","USD"
"2000-05-30 18:52:17.000000000",0.9296000000000001,0.93,"EUR","USD"
"2000-05-30 18:52:22.000000000",0.9295,0.9299000000000001,"EUR","USD"
"2000-05-30 18:55:02.000000000",0.9296000000000001,0.93,"EUR","USD"
"2000-05-30 18:56:19.000000000",0.9295,0.9299000000000001,"EUR","USD"
"2000-05-30 18:56:37.000000000",0.9294,0.9298000000000001,"EUR","USD"
"2000-05-30 18:57:09.000000000",0.9293,0.9297000000000001,"EUR","USD"
"2000-05-30 18:59:54.000000000",0.9292,0.9296000000000001,"EUR","USD"
"2000-05-30 19:00:33.000000000",0.9293,0.9297000000000001,"EUR","USD"
"2000-05-30 19:04:11.000000000",0.9292,0.9296000000000001,"EUR","USD"
"2000-05-30 19:05:56.000000000",0.9293,0.9297000000000001,"EUR","USD"
"2000-05-30 19:11:18.000000000",0.9294,0.9298000000000001,"EUR","USD"
"2000-05-30 19:12:03.000000000",0.9295,0.9299000000000001,"EUR","USD"
"2000-05-30 19:12:54.000000000",0.9296000000000001,0.93,"EUR","USD"
"2000-05-30 19:13:20.000000000",0.9295,0.9299000000000001,"EUR","USD"
"2000-05-30 19:17:14.000000000",0.9294,0.9298000000000001,"EUR","USD"
"2000-05-30 19:17:36.000000000",0.9295,0.9299000000000001,"EUR","USD"
"2000-05-30 19:18:04.000000000",0.9294,0.9298000000000001,"EUR","USD"
"2000-05-30 19:18:19.000000000",0.9295,0.9299000000000001,"EUR","USD"
"2000-05-30 19:21:42.000000000",0.9296000000000001,0.93,"EUR","USD"
"2000-05-30 19:21:46.000000000",0.9297000000000001,0.9301,"EUR","USD"
"2000-05-30 19:22:39.000000000",0.9296000000000001,0.93,"EUR","USD"
"2000-05-30 19:22:45.000000000",0.9295,0.9299000000000001,"EUR","USD"
"2000-05-30 19:23:24.000000000",0.9294,0.9298000000000001,"EUR","USD"
"2000-05-30 19:24:00.000000000",0.9295,0.9299000000000001,"EUR","USD"
"2000-05-30 19:24:46.000000000",0.9294,0.9298000000000001,"EUR","USD"
"2000-05-30 19:27:42.000000000",0.9293,0.9297000000000001,"EUR","USD"
"2000-05-30 19:29:09.000000000",0.9292,0.9296000000000001,"EUR","USD"
"2000-05-30 19:29:42.000000000",0.9291,0.9295,"EUR","USD"
"2000-05-30 19:29:48.000000000",0.9292,0.9296000000000001,"EUR","USD"
"2000-05-30 19:30:07.000000000",0.9291,0.9295,"EUR","USD"
"2000-05-30 19:32:44.000000000",0.9292,0.9296000000000001,"EUR","USD"
"2000-05-30 19:33:49.000000000",0.9293,0.9297000000000001,"EUR","USD"
"2000-05-30 19:34:18.000000000",0.9292,0.9296000000000001,"EUR","USD"
"2000-05-30 19:35:56.000000000",0.9291,0.9295,"EUR","USD"
"2000-05-30 19:36:08.000000000",0.929,0.9294,"EUR","USD"
"2000-05-30 19:36:17.000000000",0.9289000000000001,0.9293,"EUR","USD"
"2000-05-30 19:36:33.000000000",0.929,0.9294,"EUR","USD"
"2000-05-30 19:37:11.000000000",0.9289000000000001,0.9293,"EUR","USD"
"2000-05-30 19:37:14.000000000",0.929,0.9294,"EUR","USD"
